trial,category,focal,targetPresent,responsePresent,duration,tp,fa
390,67,1,0,1,8,0,1
391,68,1,0,0,4,0,0
392,69,1,0,0,16,0,0
393,70,0,0,0,4,0,0
394,71,0,0,0,4,0,0
395,72,1,1,1,32,1,0
396,73,1,1,1,8,1,0
397,74,1,1,1,8,1,0
398,75,0,0,0,16,0,0
399,76,1,0,0,32,0,0
400,77,0,0,1,1,0,1
401,78,1,1,1,32,1,0
402,79,1,1,1,4,1,0
403,80,1,1,1,16,1,0
404,1,1,0,0,32,0,0
405,2,0,0,0,2,0,0
406,3,0,1,1,16,1,0
407,4,1,0,0,4,0,0
408,5,1,0,0,8,0,0
409,6,1,0,0,16,0,0
410,7,0,1,1,16,1,0
411,8,0,1,1,32,1,0
412,9,0,0,0,16,0,0
413,10,1,0,0,2,0,0
414,11,0,0,1,2,0,1
415,12,0,1,0,16,0,0
416,13,0,0,0,2,0,0
417,14,1,1,1,32,1,0
418,15,0,0,0,2,0,0
419,16,1,1,1,1,1,0
420,17,1,1,1,2,1,0
421,18,0,1,0,2,0,0
422,19,0,0,0,8,0,0
423,20,1,0,0,32,0,0
424,21,0,0,0,32,0,0
425,22,1,0,1,1,0,1
426,23,1,1,0,2,0,0
427,24,1,1,1,8,1,0
428,25,0,0,0,2,0,0
429,26,1,0,0,1,0,0
430,27,0,1,1,4,1,0
431,28,0,1,1,2,1,0
432,29,0,1,1,4,1,0
433,30,0,0,0,8,0,0
434,31,0,1,0,1,0,0
435,32,1,0,0,4,0,0
436,33,0,0,1,32,0,1
437,34,0,1,0,8,0,0
438,35,1,1,1,8,1,0
439,36,1,1,1,4,1,0
440,37,0,0,1,2,0,1
441,38,1,0,0,4,0,0
442,39,0,1,0,8,0,0
443,40,1,0,0,16,0,0
444,41,1,0,0,16,0,0
445,42,1,1,1,16,1,0
446,43,1,1,1,2,1,0
447,44,1,0,1,1,0,1
448,45,1,0,0,32,0,0
449,46,0,1,0,32,0,0
450,47,0,1,0,8,0,0
451,48,0,1,1,32,1,0
452,49,1,1,1,16,1,0
