Subject,Duration,Attend,dprime
1,0.0083333,1,0.12098
1,0.0083333,2,0.39408
1,0.016667,1,0.56638
1,0.016667,2,0.69853
1,0.033333,1,0.68707
1,0.033333,2,1.1377
1,0.066667,1,1.0929
1,0.066667,2,1.6415
1,0.13333,1,1.0314
1,0.13333,2,1.5148
1,0.26667,1,1.085
1,0.26667,2,2.2836
2,0.0083333,1,0.2656
2,0.0083333,2,0.57667
2,0.016667,1,0.49133
2,0.016667,2,0.91187
2,0.033333,1,0.60444
2,0.033333,2,1.0137
2,0.066667,1,0.69144
2,0.066667,2,1.3128
2,0.13333,1,1.1469
2,0.13333,2,1.2584
2,0.26667,1,0.9692
2,0.26667,2,1.4421
3,0.0083333,1,0.16163
3,0.0083333,2,0.3676
3,0.016667,1,0.47727
3,0.016667,2,0.83172
3,0.033333,1,0.66451
3,0.033333,2,1.1366
3,0.066667,1,0.83748
3,0.066667,2,1.3509
3,0.13333,1,0.73062
3,0.13333,2,1.6969
3,0.26667,1,1.346
3,0.26667,2,1.2325
4,0.0083333,1,0.30305
4,0.0083333,2,0.18299
4,0.016667,1,0.61685
4,0.016667,2,0.70748
4,0.033333,1,0.89778
4,0.033333,2,1.3139
4,0.066667,1,0.81643
4,0.066667,2,1.4317
4,0.13333,1,0.91498
4,0.13333,2,1.971
4,0.26667,1,1.1454
4,0.26667,2,2.2326
5,0.0083333,1,0.12787
5,0.0083333,2,0.44429
5,0.016667,1,0.22782
5,0.016667,2,0.40983
5,0.033333,1,0.69198
5,0.033333,2,1.0393
5,0.066667,1,0.74234
5,0.066667,2,1.2612
5,0.13333,1,0.93586
5,0.13333,2,1.6874
5,0.26667,1,1.2171
5,0.26667,2,2.0547
6,0.0083333,1,0.10791
6,0.0083333,2,0.099036
6,0.016667,1,0.50211
6,0.016667,2,0.25102
6,0.033333,1,0.56297
6,0.033333,2,0.85665
6,0.066667,1,0.60987
6,0.066667,2,1.5385
6,0.13333,1,1.0862
6,0.13333,2,1.4786
6,0.26667,1,1.106
6,0.26667,2,2.1699
7,0.0083333,1,-0.060681
7,0.0083333,2,0.058094
7,0.016667,1,0.12029
7,0.016667,2,0.33383
7,0.033333,1,0.58615
7,0.033333,2,0.7774
7,0.066667,1,0.84617
7,0.066667,2,1.3701
7,0.13333,1,1.1049
7,0.13333,2,1.8099
7,0.26667,1,1.0516
7,0.26667,2,1.9542
